PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Deck,Family_Size,FamilyGroup,NumericFamilySize,TicketPrefix,PassengerStatus,DetailedPassengerStatus,GroupSize,AgeGroup,TitleEncoded,IsAlone,FamilyName,EmbarkedCategory,Pclass_Fare,Title_AgeGroup,Age*Class,Fare_Per_Person
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,Mrs,Unknown,7,Large,2,None,Low,Low-Class Passenger,4,Adult,Mrs,0,Asplund,Southampton,94.1625,Mrs_Adult,114.0,7.846875
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Emir,Cherbourg,21.674999999999997,Mr_Unknown,,7.225
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,Mr,C,6,Large,2,None,Wealthy,Wealthy Passenger,4,Teen,Mr,0,Fortune,Southampton,263.0,Mr_Teen,19.0,65.75
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Miss,1,O'Dwyer,Queenstown,23.6376,Miss_Unknown,,7.8792
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Todoroff,Southampton,23.6874,Mr_Unknown,,7.8958
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,Mr,Unknown,1,Solo,0,PC,Middle,Middle-Class Passenger,1,Adult,Mr,1,Uruchurtu,Cherbourg,27.7208,Mr_Adult,40.0,27.7208
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,Mrs,B,2,Small,1,PC,Wealthy,Wealthy Passenger,2,Unknown,Mrs,0,Spencer,Cherbourg,146.5208,Mrs_Unknown,,73.2604
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Miss,1,Glynn,Queenstown,23.25,Miss_Unknown,,7.75
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,Mr,Unknown,1,Solo,0,C.A.,Middle,Middle-Class Passenger,1,Senior,Mr,1,Wheadon,Southampton,21.0,Mr_Senior,132.0,10.5
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,Mr,Unknown,2,Small,1,PC,Middle,Middle-Class Passenger,2,Adult,Mr,0,Meyer,Cherbourg,82.1708,Mr_Adult,28.0,41.0854
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,Mr,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Holverson,Southampton,52.0,Mr_Adult,42.0,26.0
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Mamee,Cherbourg,21.6876,Mr_Unknown,,7.2292
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,Mr,Unknown,1,Solo,0,A./5.,Low,Migrant,1,Adult,Mr,1,Cann,Southampton,24.150000000000002,Mr_Adult,63.0,8.05
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,Miss,Unknown,3,Small,1,None,Low,Low-Class Passenger,2,Teen,Miss,0,Vander Planke,Southampton,54.0,Miss_Teen,54.0,9.0
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,Miss,Unknown,2,Small,1,None,Low,Low-Class Passenger,2,Teen,Miss,0,Nicola-Yarred,Cherbourg,33.7251,Miss_Teen,42.0,5.62085
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,Mrs,Unknown,2,Small,1,None,Low,Migrant,1,Adult,Mrs,0,Ahlin,Southampton,28.424999999999997,Mrs_Adult,120.0,9.475
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,Mrs,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mrs,0,Turpin,Southampton,42.0,Mrs_Adult,54.0,10.5
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Kraeff,Cherbourg,23.6874,Mr_Unknown,,7.8958
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,Miss,Unknown,4,Small,1,SC/Paris,Middle,Middle-Class Passenger,3,Child,Miss,0,Laroche,Cherbourg,83.1584,Miss_Child,6.0,13.859733333333333
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Miss,1,Devaney,Queenstown,23.6376,Miss_Teen,57.0,7.8792
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,Mr,Unknown,1,Solo,0,S.C./A.4.,Low,Migrant,1,Unknown,Mr,1,Rogers,Southampton,24.150000000000002,Mr_Unknown,,8.05
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,Mr,Unknown,2,Small,1,None,Low,Low-Class Passenger,1,Unknown,Mr,0,Lennon,Queenstown,46.5,Mr_Unknown,,15.5
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Miss,1,O'Driscoll,Queenstown,23.25,Miss_Unknown,,7.75
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,Mr,Unknown,3,Small,1,None,Low,Low-Class Passenger,1,Unknown,Mr,0,Samaan,Cherbourg,65.0376,Mr_Unknown,,21.6792
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,Mrs,Unknown,2,Small,1,None,Low,Low-Class Passenger,2,Teen,Mrs,0,Arnold-Franchi,Southampton,53.400000000000006,Mrs_Teen,54.0,8.9
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,Master,Unknown,6,Large,2,None,Low,Low-Class Passenger,6,Child,Master,0,Panula,Southampton,119.0625,Master_Child,21.0,6.614583333333333
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,Mr,Unknown,1,Solo,0,A/4.,Low,Migrant,1,Adult,Mr,1,Nosworthy,Southampton,23.4,Mr_Adult,63.0,7.8
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,Mrs,D,2,Small,1,PC,Middle,Middle-Class Passenger,3,Adult,Mrs,0,Harper,Cherbourg,76.7292,Mrs_Adult,49.0,25.576400000000003
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,Mrs,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,1,Adult,Mrs,0,Faunthorpe,Southampton,52.0,Mrs_Adult,58.0,26.0
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,Mr,B,2,Small,1,None,Middle,Middle-Class Passenger,1,Senior,Mr,0,Ostby,Cherbourg,61.9792,Mr_Senior,65.0,61.9792
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,Mr,C,1,Solo,0,None,Middle,Middle-Class Passenger,1,Unknown,Mr,1,Woolner,Southampton,35.5,Mr_Unknown,,35.5
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,Miss,Unknown,1,Solo,0,C.A.,Middle,Middle-Class Passenger,1,Adult,Miss,1,Rugg,Southampton,21.0,Miss_Adult,42.0,10.5
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Novel,Cherbourg,21.6876,Mr_Adult,85.5,7.2292
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,Miss,Unknown,4,Small,1,C.A.,Middle,Middle-Class Passenger,3,Child,Miss,0,West,Southampton,55.5,Miss_Child,10.0,9.25
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,Master,Unknown,8,Large,2,CA,Low,Low-Class Passenger,6,Child,Master,0,Goodwin,Southampton,140.7,Master_Child,33.0,7.816666666666666
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Sirayanian,Cherbourg,21.6876,Mr_Adult,66.0,7.2292
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,,Miss,B,1,Solo,0,None,Middle,Middle-Class Passenger,2,Adult,Miss,1,Icard,,80.0,Miss_Adult,38.0,40.0
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,Mr,C,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Harris,Southampton,83.475,Mr_Adult,45.0,41.7375
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,Master,Unknown,6,Large,2,None,Low,Low-Class Passenger,6,Child,Master,0,Skoog,Southampton,83.69999999999999,Master_Child,12.0,4.6499999999999995
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,Mr,Unknown,1,Solo,0,PC,Middle,Middle-Class Passenger,1,Unknown,Mr,1,Stewart,Cherbourg,27.7208,Mr_Unknown,,27.7208
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,Master,Unknown,3,Small,1,None,Low,Low-Class Passenger,2,Unknown,Master,0,Moubarek,Cherbourg,45.737399999999994,Master_Unknown,,7.6229
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,Mrs,F,1,Solo,0,C.A.,Middle,Middle-Class Passenger,1,Adult,Mrs,1,Nye,Southampton,21.0,Mrs_Adult,58.0,10.5
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,Mr,Unknown,1,Solo,0,S.P.,Low,Migrant,1,Teen,Mr,1,Crease,Southampton,24.4749,Mr_Teen,57.0,8.1583
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,Miss,Unknown,7,Large,2,None,Low,Migrant,1,Teen,Miss,0,Andersson,Southampton,23.775,Miss_Teen,51.0,7.925
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,Mr,Unknown,3,Small,1,None,Low,Migrant,1,Adult,Mr,0,Kink,Southampton,25.987499999999997,Mr_Adult,78.0,8.6625
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,Mr,Unknown,1,Solo,0,C.A.,Middle,Middle-Class Passenger,1,Adult,Mr,1,Jenkin,Southampton,21.0,Mr_Adult,64.0,10.5
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,Miss,Unknown,8,Large,2,CA,Low,Low-Class Passenger,6,Teen,Miss,0,Goodwin,Southampton,140.7,Miss_Teen,48.0,7.816666666666666
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,Mr,Unknown,1,Solo,0,S.O.C.,Middle,Middle-Class Passenger,5,Adult,Mr,1,Hood,Southampton,147.0,Mr_Adult,42.0,14.7
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,Mr,Unknown,2,Small,1,None,Low,Low-Class Passenger,1,Adult,Mr,0,Chronopoulos,Cherbourg,43.3626,Mr_Adult,78.0,14.4542
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,Mr,Unknown,1,Solo,0,None,Low,Low-Class Passenger,7,Adult,Mr,1,Bing,Southampton,169.4874,Mr_Adult,96.0,8.070828571428573
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,Mr,F,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Moen,Southampton,22.950000000000003,Mr_Adult,75.0,7.65
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Staneff,Southampton,23.6874,Mr_Unknown,,7.8958
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Moutal,Southampton,24.150000000000002,Mr_Unknown,,8.05
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,Master,Unknown,3,Small,1,None,Middle,Middle-Class Passenger,2,Child,Master,0,Caldwell,Southampton,58.0,Master_Child,1.66,14.5
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,Miss,Unknown,1,Solo,0,None,Low,Low-Class Passenger,2,Adult,Miss,1,Dowdell,Southampton,37.425,Miss_Adult,90.0,6.2375
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Waelens,Southampton,27.0,Mr_Adult,66.0,9.0
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Sheerlinck,Southampton,28.5,Mr_Adult,87.0,9.5
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Miss,1,McDermott,Queenstown,23.362499999999997,Miss_Unknown,,7.7875
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Carrau,Southampton,47.1,Mr_Adult,28.0,47.1
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,Miss,Unknown,1,Solo,0,SO/C,Middle,Middle-Class Passenger,1,Teen,Miss,1,Ilett,Southampton,21.0,Miss_Teen,34.0,10.5
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S,Mrs,Unknown,4,Small,1,None,Low,Low-Class Passenger,2,Adult,Mrs,0,Backstrom,Southampton,47.55,Mrs_Adult,99.0,7.925
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,Mr,Unknown,5,Large,2,W./C.,Low,Low-Class Passenger,4,Teen,Mr,0,Ford,Southampton,103.125,Mr_Teen,48.0,8.59375
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,Mr,Unknown,1,Solo,0,SOTON/OQ,Low,Migrant,1,Unknown,Mr,1,Slocovski,Southampton,24.150000000000002,Mr_Unknown,,8.05
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,Miss,C,6,Large,2,None,Wealthy,Wealthy Passenger,4,Adult,Miss,0,Fortune,Southampton,263.0,Miss_Adult,23.0,65.75
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Celotti,Southampton,24.150000000000002,Mr_Adult,72.0,8.05
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Christmann,Southampton,24.150000000000002,Mr_Adult,87.0,8.05
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Andreasson,Southampton,23.5626,Mr_Adult,60.0,7.8542
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,Mr,E,2,Small,1,W.E.P.,Employee,Crew,1,Adult,Mr,0,Chaffee,Southampton,61.175,Mr_Adult,46.0,61.175
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,Mr,Unknown,4,Small,1,C.A.,Low,Low-Class Passenger,2,Adult,Mr,0,Dean,Southampton,61.724999999999994,Mr_Adult,78.0,10.2875
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Coxon,Southampton,21.75,Mr_Adult,177.0,7.25
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Shorney,Southampton,24.150000000000002,Mr_Unknown,,8.05
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,Mr,A,1,Solo,0,PC,Middle,Middle-Class Passenger,1,Senior,Mr,1,Goldschmidt,Cherbourg,34.6542,Mr_Senior,71.0,34.6542
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,Mr,D,2,Small,1,PC,Middle,Middle-Class Passenger,1,Adult,Mr,0,Greenfield,Cherbourg,63.3583,Mr_Adult,23.0,63.3583
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S,Mrs,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mrs,0,Doling,Southampton,46.0,Mrs_Adult,68.0,11.5
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,Mr,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Kantor,Southampton,52.0,Mr_Adult,68.0,13.0
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Miss,1,Petranec,Southampton,23.6874,Miss_Adult,84.0,7.8958
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Petroff,Southampton,23.6874,Mr_Unknown,,7.8958
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,Mr,D,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,White,Southampton,77.2875,Mr_Adult,21.0,38.64375
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Johansson,Southampton,25.9626,Mr_Adult,99.0,8.6542
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,Mr,Unknown,3,Small,1,None,Low,Migrant,1,Adult,Mr,0,Gustafsson,Southampton,23.775,Mr_Adult,111.0,7.925
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Mionoff,Southampton,23.6874,Mr_Adult,84.0,7.8958
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,,S,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Miss,1,Salkjelsvik,Southampton,22.950000000000003,Miss_Adult,63.0,7.65
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Moss,Southampton,23.325000000000003,Mr_Unknown,,7.775
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Rekic,Southampton,23.6874,Mr_Adult,114.0,7.8958
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,Miss,Unknown,2,Small,1,None,Low,Low-Class Passenger,3,Unknown,Miss,0,Moran,Queenstown,72.44999999999999,Miss_Unknown,,8.049999999999999
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,Mr,C,1,Solo,0,None,Middle,Middle-Class Passenger,2,Adult,Mr,1,Porter,Southampton,52.0,Mr_Adult,47.0,26.0
